experiment_accession,file_accession,target,control_accession,file_format,paired_end,paired_with,assay_term_name,run_type,treatment_term_name,biological_replicate_number,technical_replicate_number,href,md5sum,biosample_type,biosample_term_name,assembly,dataset_type,lab,date_released,status
ENCSR000AUP,ENCFF000ANK,H3K27ac,ENCSR000AUW,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000ANK/@@download/ENCFF000ANK.bam,a59661d13e9d74a6839a054ddc3cef57,primary cell,B cell,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AVF,ENCFF000AKB,H3K27ac,ENCSR000ASR,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000AKB/@@download/ENCFF000AKB.bam,63c99d6edaa7f9fccdccf5be31656d0f,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000AVF,ENCFF000AKD,H3K27ac,ENCSR000ASR,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000AKD/@@download/ENCFF000AKD.bam,3df81f00e46f069e876e8652e1bbaf9f,immortalized cell line,A549,[hg19],experiment,"Bradley Bernstein, Broad",2012-08-06,released
ENCSR000DPL,ENCFF001ENH,H3K27ac,ENCSR000DPN,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF001ENH/@@download/ENCFF001ENH.bam,fca68f6bf9db808dc8c40de9f9501444,primary cell,fibroblast of lung,[hg19],experiment,"John Stamatoyannopoulos, UW",2012-07-24,released
ENCSR000EUT,ENCFF000VCN,H3K27ac,ENCSR000EUX,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VCN/@@download/ENCFF000VCN.bam,de4b1e3147b8644f34326d05d6572ebc,immortalized cell line,HCT116,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EUT,ENCFF000VCO,H3K27ac,ENCSR000EUX,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VCO/@@download/ENCFF000VCO.bam,7f13b6587c5be32a303dcf3a89e07366,immortalized cell line,HCT116,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EWR,ENCFF000VFM,H3K27ac,ENCSR000EWW,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VFM/@@download/ENCFF000VFM.bam,d23ef7c005a4e01dd89025c69af6e7ce,immortalized cell line,MCF-7,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EWR,ENCFF000VFN,H3K27ac,ENCSR000EWW,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VFN/@@download/ENCFF000VFN.bam,fb75ae5122952c65a1e2db4abf96b17a,immortalized cell line,MCF-7,[hg19],experiment,"Peggy Farnham, USC",2012-06-15,released
ENCSR000EXK,ENCFF000VJE,H3K27ac,ENCSR000EXM,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000VJE/@@download/ENCFF000VJE.bam,7e46e9bf58a197811b00af1ef2fa0207,immortalized cell line,Panc1,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
ENCSR000EXK,ENCFF000VJG,H3K27ac,ENCSR000EXM,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000VJG/@@download/ENCFF000VJG.bam,9536cb2c11b72c156a2845071109d633,immortalized cell line,Panc1,[hg19],experiment,"Peggy Farnham, USC",2011-10-07,released
